sku,upc,name_en,name_kr,item_volume,volume_unit,desc_en,desc_kr,category,note,uom,box_price,pack_price,unit_price,units_per_box,zone_type,min_stock_qty,shelf_life_days,image_url,is_active,manufacturer_id,supplier_id
NDL-022,8801073114814,Buldak Ramyeon [Single],????[??],,oz,Cream Carbonara,???????,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
NDL-023,,Buldak Ramyeon [Single],????[??],,oz,Quatro,???,Ramyun,,EA,,,1.69,,A,10,365,,TRUE,,
NDL-024,87703080782,WG Pho Bowl (Gluten free),PHO ?(?????),2.53,oz,Beef,???,Cup-myun,,BOX,16.14,,2.69,,A,10,365,,TRUE,,
NDL-025,87703078949,WG Pho Bowl (Gluten free),PHO ?(?????),2.53,oz,Pork Ribs,????,Cup-myun,,BOX,16.14,,2.69,,A,10,365,,TRUE,,
NDL-026,87703078932,WG Pho Bowl (Gluten free),PHO ?(?????),2.57,oz,Seafood,??,Cup-myun,,BOX,16.14,,2.69,,A,10,365,,TRUE,,
NDL-027,87703078925,WG Pho Bowl (Gluten free),PHO ?(?????),2.57,oz,Spicy Beef,?????,Cup-myun,,BOX,16.14,,2.69,,A,10,365,,TRUE,,
SAU-001,8801791400121,Maeil K-BBQ Marinade,?? K-BBQ ??,1.85,lb,Bulgogi,???,Sauce,,EA,,,3.39,,A,10,365,,TRUE,,
SAU-002,8801791400138,Maeil K-BBQ Marinade,?? K-BBQ ??,1.85,lb,Kalbi,??,Sauce,,EA,,,3.39,,A,10,365,,TRUE,,
SAU-003,8801791400145,Maeil K-BBQ Marinade,?? K-BBQ ??,1.85,lb,Spicy Bulgogi,?????,Sauce,,EA,,,3.39,,A,10,365,,TRUE,,
SAU-004,742812700616,LKK Hoisin Sauce,LKK ??? ??,20,oz,Hoisin,???,Sauce,,EA,,,3.3,,A,10,365,,TRUE,,
SAU-005,78895157659,LKK Honey Sriracha,LKK ?? ????,15,oz,Honey Sriracha,?? ????,Sauce,,EA,,,4.31,,A,10,365,,TRUE,,
SAU-006,78895300017,LKK Panda Oyster Sauce,LKK ???,9,oz,Oyster,?,Sauce,,EA,,,2.39,,A,10,365,,TRUE,,
SAU-007,78895142693,LKK Sriracha Mayo,LKK ???? ??,15,oz,Sriracha Mayo,???? ??,Sauce,,EA,,,4.15,,A,10,365,,TRUE,,
SAU-008,,LKK Dark Soy Sauce,LKK ???,8.4,oz,Dark Soy,???,Sauce,,EA,,,2.8,,A,10,365,,TRUE,,
SNK-001,87703351066,WG Seaweed Snack,WG ???,,oz,K-BBQ,K-BBQ ???,Snack,,PACK,,11.04,0.69,,A,10,365,,TRUE,,
SNK-002,87703068865,WG Seaweed Snack,WG ???,,oz,Wasabi,??? ???,Snack,,PACK,,11.04,0.69,,A,10,365,,TRUE,,
SNK-003,,BBG Fire Roasted Seaweed,BBG ???,,oz,BBG Fire Roasted Seaweed,BBG ???,Snack,,PACK,,11.04,0.69,,A,10,365,,TRUE,,
SNK-004,850016330338,Ginger Chew,???,3,oz,Original,????,Ginger,,BOX,40.56,,1.69,,A,10,365,,TRUE,,
SNK-005,850016330376,Ginger Chew,???,3,oz,Mango,??,Ginger,,BOX,40.56,,1.69,,A,10,365,,TRUE,,
SNK-006,850016330390,Ginger Chew,?????,3,oz,Lemon,??,Ginger,,BOX,40.56,,1.69,,A,10,365,,TRUE,,
SNK-007,645789439711,Honey Ginger Tea,?????,,oz,Original,????,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-008,645789439728,Honey Ginger Tea,?????,,oz,Lemon,??,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-009,645789439735,Honey Ginger Tea,?????,,oz,Mint,??,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-010,78776147762,Honey Ginger Tea,?????,,oz,Ginseng,??,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-011,645789439742,Honey Ginger Tea,?????,,oz,Green Tea,??,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-012,645789439759,Honey Ginger Tea,?????,,oz,Date,???,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-013,645789439766,Honey Ginger Tea,?????,,oz,Cinnamon,??,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-014,645789439858,Honey Ginger Tea,?????,,oz,Soursop,????,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-015,708828980589,Honey Ginger Tea,?????,,oz,Turmeric,??,Ginger,,BOX,41.4,,3.45,,A,10,365,,TRUE,,
SNK-016,850072696287,Hello Mochi,????,8.4,oz,Tiramisu,????,Snack,,BOX,47.76,,3.98,,A,10,365,,TRUE,,
SNK-017,850058543345,Hello Mochi,????,8.4,oz,Boba Milk Tea,?????,Snack,,BOX,47.76,,3.98,,A,10,365,,TRUE,,
SNK-018,850058543338,Hello Mochi,????,8.4,oz,Mix Fruit,????,Snack,,BOX,47.76,,3.98,,A,10,365,,TRUE,,
SNK-019,850072696263,Hello Mochi,????,8.4,oz,Strawberry Cheese Cake,??????,Snack,,BOX,47.76,,3.98,,A,10,365,,TRUE,,
TPK-001,,BBG Cup Tteokbokki,BBG ????,4.4,oz,Original,????,Tteokbokki,,EA,,,2.69,,A,100,365,,TRUE,,
TPK-002,,BBG Cup Tteokbokki,BBG ????,4.4,oz,Rose,??,Tteokbokki,,EA,,,2.69,,A,100,365,,TRUE,,
TPK-003,,BBG Cup Tteokbokki,BBG ????,4.4,oz,Cheese,??,Tteokbokki,,EA,,,2.69,,A,100,365,,TRUE,,
TPK-004,8801392037115,BBG Pouch Tteokbokki,BBG ??????,12.69,oz,Sweet & Spicy,????,Tteokbokki,,EA,,,4.49,,A,100,365,,TRUE,,
TPK-005,,BBG Pouch Tteokbokki,BBG ??????,12.69,oz,Cheese,??,Tteokbokki,,EA,,,4.49,,A,100,365,,TRUE,,
TPK-006,8801392140174,BBG Pouch Tteokbokki,BBG ??????,12.69,oz,Rose,??,Tteokbokki,,EA,,,4.49,,A,100,365,,TRUE,,
TPK-007,,BBG Pouch Tteokbokki,BBG ??????,12.69,oz,Original,????,Tteokbokki,,EA,,,4.49,,A,100,365,,TRUE,,
TPK-008,8801073910270,Buldak Tteoknokki,?? ???,6.53,oz,Original,????,Tteokbokki,,BOX,71.84,,4.49,,A,100,365,,TRUE,,
TPK-009,8801073910287,Buldak Tteoknokki,?? ???,6.53,oz,Carbonara,?????,Tteokbokki,,BOX,71.84,,4.49,,A,100,365,,TRUE,,
OIL-001,40232639838,Canola Oil,????,33.8,oz,Extra Virgin,??????,Oil,,EA,,,5.96,,A,10,365,,TRUE,,
FLR-001,,Wheat Flour,???,5.5,lb,Gumpyo,??,General,,EA,26.94,,4.49,,A,10,365,,TRUE,,
BEV-001,733815003309,Ramune,???,6.67,oz,Grape,??,Beverage,,BOX,38.34,,2.13,18,A,10,365,,TRUE,,
BEV-002,733815005006,Ramune,???,6.67,oz,Peach,???,Beverage,,BOX,38.34,,2.13,18,A,10,365,,TRUE,,
BEV-003,733815003675,Ramune,???,6.67,oz,Strawberry,??,Beverage,,BOX,38.34,,2.13,18,A,10,365,,TRUE,,
BEV-004,733815005013,Ramune,???,6.67,oz,Lychee,??,Beverage,,BOX,38.34,,2.13,18,A,10,365,,TRUE,,
BEV-006,850058543628,Popping Boba,?? ??,13.8,oz,Mixed Berry,????,Beverage,,BOX,26.4,,2.2,12,A,10,365,,TRUE,,
BEV-007,850058543666,Popping Boba,?? ??,13.8,oz,Mango,??,Beverage,,BOX,26.4,,2.2,12,A,10,365,,TRUE,,
BEV-008,850058543604,Popping Boba,?? ??,13.8,oz,Peach,???,Beverage,,BOX,26.4,,2.2,12,A,10,365,,TRUE,,
BEV-009,850058543642,Popping Boba,?? ??,13.8,oz,Strawberry,??,Beverage,,BOX,26.4,,2.2,12,A,10,365,,TRUE,,
BEV-010,850023692184,Bubble Tea,?? ?,16,oz,Taro,??,Beverage,,BOX,42.96,,1.79,24,A,10,365,,TRUE,,
BEV-011,850023692177,Bubble Tea,?? ?,16,oz,Matcha,??,Beverage,,BOX,42.96,,1.79,24,A,10,365,,TRUE,,
BEV-012,850023692153,Bubble Tea,?? ?,16,oz,Brown Sugar,??? ??,Beverage,,BOX,42.96,,1.79,24,A,10,365,,TRUE,,
BEV-013,850051517091,Bubble Tea,?? ?,16,oz,Strawberry,??,Beverage,,BOX,42.96,,1.79,24,A,10,365,,TRUE,,
BEV-014,850023692559,Bubble Tea,?? ?,16,oz,Thai Tea,?? ?,Beverage,,BOX,42.96,,1.79,24,A,10,365,,TRUE,,
BEV-015,850023692160,Bubble Tea,?? ?,16,oz,Honey Dew,???,Beverage,,BOX,42.96,,1.79,24,A,10,365,,TRUE,,
BEV-017,850051517237,Vietnamese Coffee,??? ??,16.5,oz,Original,????,Beverage,,BOX,21.48,,1.79,12,A,10,365,,TRUE,,
BEV-018,850058543376,Tok Tok,??,10.8,oz,Strawberry,??,Beverage,,BOX,14.4,,1.2,12,A,10,365,,TRUE,,
BEV-019,,Tok Tok,??,10.8,oz,Melon,??,Beverage,,BOX,14.4,,1.2,12,A,10,365,,TRUE,,
BEV-021,850058543383,Tok Tok,??,10.8,oz,Mango,??,Beverage,,BOX,14.4,,1.2,12,A,10,365,,TRUE,,
BEV-022,850058543390,Tok Tok,??,10.8,oz,Pineapple,????,Beverage,,BOX,14.4,,1.2,12,A,10,365,,TRUE,,
BEV-023,850058543406,Tok Tok,??,10.8,oz,Lychee,??,Beverage,,BOX,14.4,,1.2,12,A,10,365,,TRUE,,
BEV-024,850075808199,Tok Tok,??,16.6,oz,Strawberry,??,Beverage,,BOX,17.28,,1.44,12,A,10,365,,TRUE,,
BEV-025,,Tok Tok,??,16.6,oz,Melon,??,Beverage,,BOX,17.28,,1.44,12,A,10,365,,TRUE,,
BEV-027,850023692658,Tok Tok,??,16.6,oz,Mango,??,Beverage,,BOX,17.28,,1.44,12,A,10,365,,TRUE,,
BEV-028,,Tok Tok,??,16.6,oz,Pineapple,????,Beverage,,BOX,17.28,,1.44,12,A,10,365,,TRUE,,
BEV-029,850075808212,Tok Tok,??,16.6,oz,Lychee,??,Beverage,,BOX,17.28,,1.44,12,A,10,365,,TRUE,,
BEV-030,884394009913,OKF Aloe Vera w/Fruit,??? ??,,,Green Apple,?? ??,Beverage,,BOX,31.2,,1.56,20,A,10,365,,TRUE,,
BEV-031,884394010155,OKF Aloe Vera w/Fruit,??? ??,,,Strawberry,??,Beverage,,BOX,31.2,,1.56,20,A,10,365,,TRUE,,
BEV-032,884394010131,OKF Aloe Vera w/Fruit,??? ??,,,Honey Mango,?? ??,Beverage,,BOX,31.2,,1.56,20,A,10,365,,TRUE,,
BEV-033,884394009753,OKF Aloe Vera w/Fruit,??? ??,,,Pink Peach,?? ??,Beverage,,BOX,31.2,,1.56,20,A,10,365,,TRUE,,
BEV-034,884394007971,OKF Smoothie,???,,,Purple,??,Beverage,,BOX,33,,1.65,20,A,10,365,,TRUE,,
BEV-035,884394007919,OKF Smoothie,???,,,Orange,???,Beverage,,BOX,33,,1.65,20,A,10,365,,TRUE,,
BEV-036,884394007957,OKF Smoothie,???,,,Green,??,Beverage,,BOX,33,,1.65,20,A,10,365,,TRUE,,
BEV-037,884394007872,OKF Smoothie,???,,,Red,??,Beverage,,BOX,33,,1.65,20,A,10,365,,TRUE,,
BEV-038,884394007933,OKF Smoothie,???,,,Yellow,???,Beverage,,BOX,33,,1.65,20,A,10,365,,TRUE,,
BEV-039,884394008923,OKF Smoothie,???,,,Tropical,????,Beverage,,BOX,33,,1.65,20,A,10,365,,TRUE,,
BEV-040,884394008947,OKF Smoothie,???,,,Mix Berry,????,Beverage,,BOX,33,,1.65,20,A,10,365,,TRUE,,
BEV-041,53722702417,Pocaville Nectar,??? ??,8.4,oz,Mango,??,Beverage,,BOX,16.8,,0.7,24,A,10,365,,TRUE,,
BEV-042,53722702424,Pocaville Nectar,??? ??,8.4,oz,Guava,???,Beverage,,BOX,16.8,,0.7,24,A,10,365,,TRUE,,
